customer_id,city,age,gender,monthly_income,plan_type,tenure_months,monthly_recharge_amount,data_usage_gb,call_minutes_used,sms_count,number_of_complaints,complaint_resolved,network_type,device_brand,device_price_range,avg_monthly_bill,late_payment_count,contract_type,customer_service_calls,international_roaming_used,value_added_services_count,satisfaction_score,app_usage_hours_per_week,social_media_usage_hours,streaming_service_used,number_of_family_lines,payment_method,signup_date,churn,tenure_days_from_signup
CUST01394,Nagpur,,Female,12000.0,Prepaid,8.0,154.95,0.28,396.0,17.0,2.0,Yes,4G,Vivo,Low (<10k),155.06,1.0,With Contract,2.0,No,2.0,5.0,2.8,1.1,Yes,0.0,UPI,2019-08-30,No,2538.0
CUST00186,Thane,58.0,Female,14100.0,Prepaid,30.0,95.67,2.81,516.0,34.0,3.0,Yes,2G,Xiaomi,Premium (>60k),86.36,1.0,No Contract,5.0,No,1.0,3.0,11.1,1.5,No,1.0,UPI,2019-03-11,Yes,2710.0
CUST00044,Navi Mumbai,44.0,Male,14200.0,Prepaid,64.0,238.28,,452.0,29.0,2.0,No,4G,Samsung,Mid (10k-25k),275.92,0.0,No Contract,4.0,No,2.0,5.0,1.5,2.5,No,0.0,Wallet,2019-04-28,No,2662.0
CUST01039,Mumbai,42.0,Male,12100.0,Postpaid,15.0,160.41,13.91,603.0,25.0,3.0,Yes,4G,Realme,,148.32,1.0,No Contract,1.0,No,1.0,,4.7,0.2,No,1.0,Debit Card,2022-01-09,Yes,1675.0
CUST00061,Pune,56.0,Male,49900.0,Postpaid,43.0,236.85,5.32,124.0,27.0,0.0,No Complaint Filed,5G,OnePlus,Low (<10k),285.58,0.0,No Contract,1.0,No,1.0,3.0,,4.5,No,1.0,Cash,2019-07-20,Yes,2579.0
CUST00336,Mumbai,80.0,Female,41900.0,Prepaid,9.0,325.08,0.18,497.0,29.0,3.0,No,4G,Vivo,Premium (>60k),270.84,1.0,No Contract,0.0,No,2.0,2.0,1.2,4.1,No,0.0,Debit Card,2024-11-04,No,645.0
CUST00532,Akola,48.0,Female,19500.0,Prepaid,35.0,161.34,4.02,533.0,32.0,2.0,Yes,,Oppo,Low (<10k),173.45,1.0,No Contract,1.0,No,1.0,5.0,3.6,10.8,Yes,3.0,Wallet,2019-11-27,No,2449.0
CUST00410,Mumbai,55.0,Male,11600.0,Postpaid,6.0,220.85,8.65,366.0,26.0,0.0,No Complaint Filed,4G,Samsung,Low (<10k),275.97,1.0,With Contract,2.0,No,1.0,5.0,3.2,5.8,Yes,3.0,UPI,2019-07-06,No,2593.0
CUST01168,Nagpur,,Female,29100.0,Postpaid,10.0,326.25,2.69,834.0,26.0,1.0,Yes,4G,Samsung,High (25k-60k),338.99,1.0,With Contract,2.0,Yes,0.0,4.0,3.5,1.2,Yes,0.0,Credit Card,2023-07-06,No,1132.0
CUST00364,Nagpur,31.0,Female,28400.0,Prepaid,2.0,232.9,4.52,456.0,22.0,6.0,No,5G,Oppo,Low (<10k),275.07,2.0,No Contract,3.0,No,4.0,5.0,14.9,5.9,No,1.0,Credit Card,2020-05-03,Yes,2291.0
