customer_id,city,age,gender,monthly_income,plan_type,tenure_months,monthly_recharge_amount,data_usage_gb,call_minutes_used,sms_count,number_of_complaints,complaint_resolved,network_type,device_brand,device_price_range,avg_monthly_bill,late_payment_count,contract_type,customer_service_calls,international_roaming_used,value_added_services_count,satisfaction_score,app_usage_hours_per_week,social_media_usage_hours,streaming_service_used,number_of_family_lines,payment_method,signup_date,churn
CUST01394,nagpur,,Female,12000.0,Prepaid,8.0,154.95,0.28,396.0,17.0,2.0,Yes,4G,Vivo,Low (<10k),155.06,1.0,With Contract,2.0,No,2.0,5.0,2.8,1.1,Yes,0.0,UPI,08/30/2019,No
CUST00186,Thane,58.0,F,14100.0,prepaid,30.0,95.67,2.81,516.0,34.0,3.0,Yes,2G,Xiaomi,Premium (>60k),86.36,1.0,No Contract,5.0,No,1.0,3.0,11.1,1.5,No,1.0,UPI,11-03-2019,Yes
CUST00044,Navi Mumbai,44.0,Male,14200.0,Prepaid,64.0,238.28,,452.0,29.0,2.0,NO,4g,Samsung,Mid (10k-25k),275.92,0.0,No Contract,4.0,No,2.0,5.0,1.5,2.5,No,0.0,Wallet,2019-04-28,No
CUST01039,mumbai,42.0,M,12100.0,Postpaid,15.0,160.41,13.91,603.0,25.0,3.0,yes,4G,Realme,Unknown,148.32,1.0,No Contract,1.0,No,1.0,,4.7,0.2,No,1.0,Debit Card,09-01-2022,Yes
CUST00061,Pune,56.0,Male,49900.0,Postpaid,43.0,236.85,5.32,124.0,27.0,0.0,N/A,5G,OnePlus,Low (<10k),285.58,0.0,No Contract,1.0,No,1.0,3.0,,4.5,No,1.0,Cash,20-07-2019,Yes
CUST00336,Mumbai,80.0,Female,41900.0,Prepaid,9.0,325.08,0.18,497.0,29.0,3.0,No,4G,Vivo,Premium (>60k),270.84,1.0,No Contract,0.0,No,2.0,2.0,1.2,4.1,No,0.0,Debit Card,04/11/2024,No
CUST00532,Akola,48.0,Female,19500.0,Prepaid,35.0,161.34,4.02,533.0,32.0,2.0,yes,null,Oppo,Low (<10k),173.45,1.0,No Contract,1.0,No,1.0,5.0,3.6,10.8,Yes,3.0,Wallet,27-11-2019,No
CUST00410,Mumbai ,55.0,Male,11600.0,Postpaid,6.0,220.85,8.65,366.0,26.0,0.0,N/A,4G,Samsung,Low (<10k),275.97,1.0,With Contract,2.0,No,1.0,5.0,3.2,5.8,Yes,3.0,UPI,06/07/2019,No
CUST01168,Nagpur city,,Female,29100.0,Postpaid,10.0,326.25,2.69,834.0,26.0,1.0,Yes,4G,Samsung,High (25k-60k),338.99,1.0,with contract,2.0,Yes,0.0,4.0,3.5,1.2,Yes,0.0,Credit Card,06/07/2023,No
CUST00364,Nagpur city,31.0,Female,28400.0,Prepaid,2.0,232.9,4.52,456.0,22.0,6.0,NO,5G,Oppo,Low (<10k),275.07,2.0,No Contract,3.0,No,4.0,5.0,14.9,5.9,No,1.0,Credit Card,2020-05-03,Yes
CUST00285,nashik,27.0,Female,30300.0,Prepaid,8.0,326.33,2.9,184.0,27.0,1.0,NO,4g,Realme,Mid (10k-25k),284.97,2.0,No Contract,2.0,No,2.0,3.0,11.6,5.5,Yes,0.0,Wallet,26/12/2020,No
CUST00118,Mumbai,150.0,Female,155000.0,Prepaid,1.0,147.64,0.76,659.0,27.0,1.0,yes,NA,Xiaomi,Premium (>60k),134.23,1.0,No Contract,0.0,No,1.0,1.0,19.7,0.6,No,0.0,Net Banking,07/08/2019,Yes
CUST00735,PUNE,51.0,Female,32400.0,POSTPAID,500.0,110.6,14.53,82.0,26.0,2.0,NO,5G,OnePlus,Mid (10k-25k),126.78,0.0,No Contract,2.0,No,1.0,3.0,1.2,1.8,No,0.0,Cash,2021-04-09,No
