customer_id,city,age,gender,monthly_income,plan_type,tenure_months,monthly_recharge_amount,data_usage_gb,call_minutes_used,sms_count,number_of_complaints,complaint_resolved,network_type,device_brand,device_price_range,avg_monthly_bill,late_payment_count,contract_type,customer_service_calls,international_roaming_used,value_added_services_count,satisfaction_score,app_usage_hours_per_week,social_media_usage_hours,streaming_service_used,number_of_family_lines,payment_method,signup_date,churn
CUST01394,nagpur,,Female,12000,Prepaid,8,154.95,0.28,396,17,2,Yes,4G,Vivo,Low (<10k),155.06,1,With Contract,2,No,2,5,2.8,1.1,Yes,0,UPI,08/30/2019,No
CUST00186,Thane,58,F,14100,prepaid,30,95.67,2.81,516,34,3,Yes,2G,Xiaomi,Premium (>60k),86.36,1,No Contract,5,No,1,3,11.1,1.5,No,1,UPI,11-03-2019,Yes
CUST00044,Navi Mumbai,44,Male,14200,Prepaid,64,238.28,,452,29,2,NO,4g,Samsung,Mid (10k-25k),275.92,0,No Contract,4,No,2,5,1.5,2.5,No,0,Wallet,28-04-2019,No
CUST01039,mumbai,42,M,12100,Postpaid,15,160.41,13.91,603,25,3,yes,4G,Realme,Unknown,148.32,1,No Contract,1,No,1,,4.7,0.2,No,1,Debit Card,09-01-2022,Yes
CUST00061,Pune,56,Male,49900,Postpaid,43,236.85,5.32,124,27,0,N/A,5G,OnePlus,Low (<10k),285.58,0,No Contract,1,No,1,3,,4.5,No,1,Cash,20-07-2019,Yes
CUST00336,Mumbai,80,Female,41900,Prepaid,9,325.08,0.18,497,29,3,No,4G,Vivo,Premium (>60k),270.84,1,No Contract,0,No,2,2,1.2,4.1,No,0,Debit Card,04-11-2024,No
CUST00532,Akola,48,Female,19500,Prepaid,35,161.34,4.02,533,32,2,yes,null,Oppo,Low (<10k),173.45,1,No Contract,1,No,1,5,3.6,10.8,Yes,3,Wallet,27-11-2019,No
CUST00410,Mumbai ,55,Male,11600,Postpaid,6,220.85,8.65,366,26,0,N/A,4G,Samsung,Low (<10k),275.97,1,With Contract,2,No,1,5,3.2,5.8,Yes,3,UPI,06-07-2019,No
CUST01168,Nagpur city,,Female,29100,Postpaid,10,326.25,2.69,834,26,1,Yes,4G,Samsung,High (25k-60k),338.99,1,with contract,2,Yes,0,4,3.5,1.2,Yes,0,Credit Card,06-07-2023,No
CUST00364,Nagpur city,31,Female,28400,Prepaid,2,232.9,4.52,456,22,6,NO,5G,Oppo,Low (<10k),275.07,2,No Contract,3,No,4,5,14.9,5.9,No,1,Credit Card,03-05-2020,Yes
CUST00285,nashik,27,Female,30300,Prepaid,8,326.33,2.9,184,27,1,NO,4g,Realme,Mid (10k-25k),284.97,2,No Contract,2,No,2,3,11.6,5.5,Yes,0,Wallet,26-12-2020,No
CUST00118,Mumbai,150,Female,155000,Prepaid,1,147.64,0.76,659,27,1,yes,NA,Xiaomi,Premium (>60k),134.23,1,No Contract,0,No,1,1,19.7,0.6,No,0,Net Banking,07-08-2019,Yes
CUST00735,PUNE,51,Female,32400,POSTPAID,500,110.6,14.53,82,26,2,NO,5G,OnePlus,Mid (10k-25k),126.78,0,No Contract,2,No,1,3,1.2,1.8,No,0,Cash,09-04-2021,No
CUST00205,nashik,42,Female,48200,Postpaid,47,115.25,4.96,441,22,1,No,5G,Realme,Mid (10k-25k),134.26,1,No Contract,1,No,0,3,25.7,3.2,Yes,0,UPI,09/29/2023,No
CUST00260,Mumbai ,62,Female,31800,prepaid,25,303.53,6.67,165,25,2,NO,4G,Vivo,Mid (10k-25k),391.8,1,No Contract,2,No,1,2,0,8.2,No,0,UPI,01-06-2021,No
CUST00873,THANE,56,Female,,Prepaid,11,186.88,5.75,639,29,1,NO,4G,Apple,Mid (10k-25k),195.59,1,With Contract,1,No,0,4,10.7,6.9,No,0,Cash,24-07-2021,No
CUST00639,Bombay,55,Male,33400,Postpaid,9,146.65,9.59,738,28,0,N/A,5G,Vivo,Mid (10k-25k),119.8,0,No Contract,4,No,2,5,1.4,0.7,No,1,UPI,03-03-2022,No
CUST01021,THANE,42,Female,27700,Prepaid,34,162.69,0.4,585,21,4,Yes,4G,Realme,Mid (10k-25k),200.48,0,With Contract,3,No,1,5,22.5,2.6,No,1,Wallet,24-06-2021,Yes
CUST00738,Solapur,52,Male,21700,Prepaid,9,398.87,13.96,,25,1,Yes,3G,Xiaomi,Mid (10k-25k),509.06,0,No Contract,1,No,1,5,2.2,7.3,No,0,Net Banking,30-03-2021,No
CUST00455,MUMBAI,64,female,34800,Prepaid,19,178.7,1.31,234,16,1,Yes,3G,Realme,Mid (10k-25k),163.72,1,No Contract,1,No,2,4,2.7,5.9,No,0,,10/15/2023,No
CUST00783,Mumbai,71,Female,13800,Prepaid,26,150.95,17.11,,27,1,NO,4G,Samsung,Mid (10k-25k),184,1,No Contract,2,No,5,5,7.4,7.7,Yes,1,Cash,08/30/2021,No
CUST01278,Akola,32,Male,19600,Postpaid,8,289.29,1.16,391,18,1,Yes,4g,Apple,Mid (10k-25k),318.88,1,No Contract,0,No,0,,10.8,0.4,No,3,Cash,15-08-2020,No
CUST01073,MUMBAI,64,Male,35900,Prepaid,8,228.94,2.37,0,25,1,No,3G,Oppo,Low (<10k),217.86,0,No Contract,3,No,0,2,3.6,6.6,No,1,UPI,03-10-2023,No
CUST01444, Pune,69,M,22000,Prepaid,22,211.1,5.56,502,23,0,N/A,4g,Oppo,Low (<10k),179.59,0,With Contract,0,No,1,,,19.4,Yes,3,UPI,06-09-2023,No
CUST00368,NaviMumbai,66,Male,53600,Prepaid,1,156.54,1.04,458,34,0,N/A,4G,Samsung,Mid (10k-25k),,0,With Contract,2,No,0,2,17.4,9.9,No,1,UPI,01-08-2020,Yes
CUST01483,Nagpur,77.0 yrs,Female,21600,Prepaid,15,123.17,2.07,477,27,1,Yes,4G,APPLE,Low (<10k),102.06,0,No Contract,1,No,2,4,0.3,5.5,No,2,Net Banking,23-03-2024,No
CUST00542,nashik,32,Female,49700,Prepaid,12,131.98,0.48,491,34,4,No,4G,Oppo,Low (<10k),144.84,0,No Contract,1,No,0,4,5,5,Yes,3,Debit Card,27-03-2023,No
CUST00512,pune,50,Male,34300,Prepaid,3,613.32,0.42,423,32,0,N/A,4G,OnePlus,Mid (10k-25k),684.97,2,No Contract,2,No,1,,8.6,12.1,Yes,2,Credit Card,02-12-2020,Yes
CUST00390,Solapur,38,female,9300,Postpaid,25,158.11,4.29,757,28,1,No,5G,Oppo,High (25k-60k),156.78,0,No Contract,3,No,4,3,0.9,1.7,Yes,0,UPI,10-09-2019,No
CUST00557,mumbai,30,Female,34400,Prepaid,0,170.54,2.88,240,29,1,No,5G,Xiaomi,Low (<10k),151.86,1,None,3,No,1,5,16.1,0.8,Yes,0,Debit Card,25-08-2019,No
CUST00770,solapur,26,Female,23400,Postpaid,41,186.26,2.33,306,27,2,No,3G,Apple,?,158.43,0,With Contract,4,No,4,4,4,2,No,1,UPI,09-11-2021,No
CUST00703,PUNE,32,Female,27200,Prepaid,2,426.5,,233,30,2,yes,4G,Xiaomi,Premium (>60k),488.44,2,No Contract,3,No,1,4,1,2.1,Yes,0,Net Banking,24-08-2021,No
CUST00801,THANE,,M,33400,Prepaid,24,377.9,8.24,707,28,2,Yes,4g,Xiaomi,High (25k-60k),,1,With Contract,3,No,3,1,5,0.4,Yes,0,UPI,16-01-2021,No
CUST00286,Mumbai,41,F,26800,prepaid,33,181.54,0.76,638,23,2,yes,4G,Realme,Mid (10k-25k),168.98,2,No Contract,2,No,0,4,2.1,6.3,Yes,2,UPI,08-03-2024,Yes
CUST00072,MUMBAI,,Male,123500,Prepaid,14,181.78,3.27,521,17,1,yes,4G,Apple,Mid (10k-25k),149.98,1,With Contract,1,No,2,2,9.3,1.3,Yes,0,Debit Card,04/23/2024,No
CUST00612,solapur,83,Male,28300,Postpaid,14,224.12,2.23,,23,2,NO,4G,Samsung,Mid (10k-25k),255.6,0,With Contract,3,No,1,,2,2.7,Yes,3,Wallet,23-07-2019,No
CUST00649,Aurangabad,28,Female,12600,Postpaid,5,111.28,3.78,405,27,3,Yes,4G,Realme,-,116.15,0,No Contract,4,No,1,1,1.3,1.2,No,2,Debit Card,02-08-2023,Yes
CUST00914, Pune,49,Male,43700,Postpaid,4,243,17.21,153,33,1,yes,4G,Realme,Mid (10k-25k),264.83,2,No Contract,2,Yes,1,5,1.1,1.7,Yes,1,UPI,06-04-2024,No
CUST01055,Akola,85,Male,28100,Prepaid,2,301.93,1.03,454,27,4,Yes,4G,OnePlus,High (25k-60k),304.49,0,No Contract,4,No,1,5,1.4,0.1,No,0,Cash,06-07-2021,Yes
CUST01051,amravati,47,Male,42100,prepaid,30,168.82,0.97,543,23,1,NO,4G,Vivo,Mid (10k-25k),179.8,1,No Contract,4,No,1,3,21.7,7.6,No,1,Cash,05-02-2022,No
CUST01016,navi mumbai,43,male,66200,Prepaid,2,205.09,7.54,459,31,0,N/A,4G,Xiaomi,Low (<10k),265.97,0,With Contract,1,No,3,3,0.6,0,Yes,3,Credit Card,04/16/2024,No
CUST00351,Nagpur city,47,Male,17700,Prepaid,41,280.88,16.72,249,28,2,yes,4g,Samsung,Low (<10k),351.51,0,No Contract,1,No,0,2,21.6,7.4,Yes,1,Net Banking,09-04-2019,No
CUST01401,Mumbai ,38,,8600,Prepaid,0,209.59,5.99,588,31,1,NO,4G,OnePlus,High (25k-60k),240.87,4,with contract,2,No,0,3,0.1,8.1,Yes,1,Credit Card,25-03-2020,No
CUST01361,navi mumbai,52,F,32800,Postpaid,11,117.03,1.75,725,20,0,N/A,4G,OnePlus,Low (<10k),115.38,0,No Contract,2,No,0,3,8.6,6,No,1,Net Banking,11-11-2022,Yes
CUST00112,MUMBAI,54,Female,16100,Prepaid,10,601.87,0.43,251,24,0,N/A,3G,Realme,Mid (10k-25k),570.15,0,With Contract,0,No,2,5,2.2,5,Yes,0,upi,03/31/2024,No
CUST01014,mumbai,42,Female,44900,prepaid,1,157.04,0.33,367,16,2,Yes,4G,Xiaomi,Low (<10k),141.06,1,No Contract,3,No,0,3,2.7,3,No,1,,13-06-2021,Yes
CUST00716,Navi Mumbai,35,Male,14400,Prepaid,10,271.6,7.73,551,22,4,NO,None,Xiaomi,Mid (10k-25k),350.64,2,No Contract,3,No,2,5,12.6,7,No,0,UPI,20-06-2022,No
CUST01062,Akola,61,Female,30900,Postpaid,8,188.44,4.09,31,25,1,Yes,4g,Xiaomi,Low (<10k),226.21,1,No Contract,2,Yes,0,3,3.5,2.7,No,1,Wallet,05/17/2019,No
CUST00117,Solapur,,female,29200,Prepaid,13,229.87,2.99,668,19,1,Yes,4G,Samsung,High (25k-60k),258.21,0,with contract,3,No,1,2,,11.4,No,2,Debit Card,17-05-2019,No
CUST00867,MUMBAI,57,Male,24200,Prepaid,0,195.03,7.12,325,27,1,No,3G,Samsung,Low (<10k),224.01,1,No Contract,4,No,1,3,2.6,2.9,No,0,Credit Card,30-09-2020,No
CUST00102,nashik,63,Male,37100,Prepaid,0,155.21,3.3,616,14,2,NO,5G,Xiaomi,Low (<10k),158.65,0,No Contract,3,No,1,2,,3.6,Yes,0,upi,11-01-2019,No
CUST00659,thane,35,Female,25300,Postpaid,9,75.78,12.08,603,23,1,yes,4g,Realme,High (25k-60k),92.28,2,No Contract,7,No,1,2,3.6,2,Yes,0,UPI,04-02-2023,No
CUST00986,Nagpur,78,,28900,Postpaid,2,115.4,2.99,186,31,1,NO,4G,Xiaomi,High (25k-60k),129.22,2,-,3,No,0,3,6.4,1.3,No,2,Debit Card,02-02-2019,Yes
CUST01048,Mumbai ,31,Female,10600,Postpaid,14,104.48,,642,25,2,Yes,4G,Realme,Low (<10k),106.62,0,No Contract,2,No,2,3,2.2,1.7,No,0,Credit Card,10-11-2020,No
CUST01191,Mumbai,34,Female,32000,POSTPAID,5,68.04,8.18,346,15,2,Yes,4G,Samsung,Low (<10k),57.61,0,No Contract,0,No,1,4,1.1,12.2,Yes,4,Wallet,12-06-2019,No
CUST00638,mumbai,37,M,60300,prepaid,22,492.82,0.37,325,29,0,N/A,4G,Samsung,Low (<10k),557.5,1,With Contract,3,No,2,5,13.8,2.1,Yes,0,Wallet,11-05-2020,No
CUST00607,Mumbai ,21,F,,Prepaid,50,211.83,16.15,614,28,0,N/A,4g,Apple,Mid (10k-25k),243.35,2,No Contract,0,No,0,2,3,20,No,0,UPI,04-04-2021,No
CUST00453,PUNE,36,Female,21400,Prepaid,20,140.43,0.2,,23,0,N/A,4g,Vivo,Low (<10k),163.6,0,No Contract,1,No,2,5,1,0.1,Yes,1,Credit Card,30-01-2021,No
CUST00733,THANE,69,Other,40900,Prepaid,1,150.31,0.55,,18,2,yes,4G,Xiaomi,Premium (>60k),130.53,1,No Contract,1,No,2,3,4.6,6.4,Yes,0,,11-07-2021,Yes
CUST00464,Nasik,40,Female,11700,Prepaid,10,252.93,10.71,123,16,1,yes,4G,Vivo,High (25k-60k),325.24,0,No Contract,2,No,0,4,0.8,1.1,No,1,UPI,20-04-2024,No
CUST01075,akola,51,Male,23800,Postpaid,8,103.14,6.32,605,34,2,Yes,4G,Samsung,Low (<10k),98.56,1,No Contract,0,No,2,4,,0.7,No,0,upi,11-07-2020,No
CUST01481,solapur,39,Female,21800,Prepaid,10,649.04,1.17,0,15,2,Yes,4G,Xiaomi,Mid (10k-25k),828.48,0,No Contract,2,No,0,4,2.3,17.2,No,0,UPI,10-12-2022,No
CUST00253,kolhapur,38,Male,11000,Prepaid,5,114.03,12.26,762,26,2,NO,4g,Vivo,Low (<10k),101.51,1,No Contract,2,No,1,5,2,0.8,Yes,3,Debit Card,11-03-2021,No
CUST01458,thane,53,F,54700,Prepaid,40,278.22,33.5,299,26,1,yes,4G,Realme,Mid (10k-25k),315.74,1,No Contract,1,Yes,0,4,4.5,4.2,Yes,4,UPI,25-05-2024,No
CUST01396,solapur,57,F,22100,Postpaid,25,420,5.93,463,23,2,No,4G,Realme,Mid (10k-25k),480.65,2,With Contract,1,No,2,4,3.7,1.5,Yes,2,upi,06-08-2020,No
CUST00128,Kolhapur,69,Female,,Prepaid,2,373.46,1.85,,33,0,N/A,4G,Samsung,Mid (10k-25k),337.47,0,No Contract,3,No,5,5,0.7,4.7,Yes,0,Wallet,10/31/2023,Yes
CUST00064, Pune,49,Male,28200,Prepaid,13,170.49,5.14,207,25,2,NO,5G,Samsung,Premium (>60k),156.32,0,With Contract,0,No,2,5,7.4,8.7,No,1,Credit Card,11/27/2021,No
CUST01027,Kolhapur,35,Male,16300,Prepaid,12,236.01,0.52,264,24,0,N/A,4G,Vivo,Low (<10k),234.35,1,With Contract,3,No,1,2,7.1,10.4,No,1,upi,08/16/2022,No
CUST01447,thane,50,Female,23500,Prepaid,7,494.25,4.69,173,14,0,N/A,2G,Samsung,Mid (10k-25k),556.49,1,No Contract,2,No,1,2,5.7,21.5,Yes,1,UPI,14-01-2021,No
CUST00059,mumbai,56,,17000,Prepaid,10,433.4,4.21,746,31,1,Yes,3G,Realme,High (25k-60k),510.27,1,With Contract,1,No,0,,7,0.7,No,2,Wallet,25-01-2024,No
CUST01302,navi mumbai,47,Other,25100,Postpaid,19,73.24,11.49,64,20,2,Yes,4g,Xiaomi,Low (<10k),83.73,0,No Contract,4,No,1,,14.1,6.5,No,0,Wallet,20-09-2021,No
CUST00349,Pune,60,F,12100,Prepaid,4,128.35,7.43,346,28,1,NO,4G,,Low (<10k),135.32,1,No Contract,0,No,1,,3.7,7.7,No,0,Net Banking,14-07-2019,Yes
CUST01138,Nagpur,47,M,13000,Prepaid,20,258.15,0.19,336,30,2,NO,4g,Xiaomi,Premium (>60k),256.81,5,With Contract,2,No,1,5,32.6,4.1,No,0,Cash,25-09-2022,No
CUST00468,kolhapur,55,Male,5900,Prepaid,11,53.44,2.12,632,37,1,NO,4G,Xiaomi,Mid (10k-25k),62.88,1,No Contract,1,No,0,3,6.7,4.6,Yes,3,Credit Card,03/30/2024,No
CUST01472,Thane,85,Male,45700,Postpaid,25,69.73,2.47,420,22,1,yes,4g,OnePlus,Low (<10k),64.35,2,None,2,No,3,1,1.6,0.8,Yes,0,Wallet,16-04-2022,No
CUST00968,PUNE,41,Male,10400,Prepaid,0,183.5,1.2,461,19,1,yes,4G,Oppo,Premium (>60k),221.21,0,No Contract,3,No,0,4,6,3.4,No,0,Debit Card,19-01-2020,Yes
CUST00096,Nagpur,58,Female,27700,Prepaid,14,91,9.39,715,29,2,NO,4G,Xiaomi,Premium (>60k),81.36,0,No Contract,3,No,0,2,8.9,2.7,No,1,Net Banking,27-07-2021,Yes
CUST00413,Navi Mumbai,39,female,74800,Prepaid,20,465.22,14.33,821,24,2,No,4g,Samsung,Mid (10k-25k),562.99,3,With Contract,2,No,2,4,21.8,25,Yes,1,Net Banking,19-03-2021,No
CUST00201,Thane,54,male,25300,prepaid,25,243.06,,182,25,0,N/A,4G,,Low (<10k),197.27,1,With Contract,0,No,2,4,7.8,7.9,Yes,1,Cash,12-01-2021,No
CUST00817,Nashik,68,Male,7100,Prepaid,59,270.16,12.32,739,25,0,N/A,4G,Vivo,Low (<10k),241.87,0,No Contract,2,No,2,4,2.8,6.8,Yes,2,Debit Card,25-06-2022,No
CUST00701,nagpur,36,female,33000,Prepaid,22,180.52,0.36,528,21,1,Yes,4G,Samsung,Low (<10k),228.99,2,No Contract,1,No,1,4,13.7,0.6,Yes,1,Cash,06-09-2022,No
CUST00674,nagpur,71,F,34200,Postpaid,21,181.79,8.98,350,23,2,yes,3G,Vivo,Mid (10k-25k),171.77,0,No Contract,2,No,2,3,13.1,1.3,No,1,UPI,12/21/2020,No
CUST00433,Nashik,56,Female,21500,Postpaid,14,284.9,1.24,388,19,3,Yes,4G,Vivo,Mid (10k-25k),352.53,1,No Contract,2,No,0,2,5.2,16.2,Yes,2,Net Banking,12-02-2021,No
CUST00384,Amravati,52,M,25500,Postpaid,6,134.95,1.16,188,30,2,Yes,2G,Apple,Low (<10k),152.65,0,No Contract,3,No,3,2,5.7,3.8,Yes,0,upi,02-04-2022,No
CUST00028,Nagpur,50,Male,70600,Prepaid,0,157.06,0.85,473,23,1,NO,4G,Samsung,Low (<10k),164.65,1,No Contract,0,No,0,3,21.8,5.6,Yes,3,Net Banking,24-07-2022,No
CUST00142,MUMBAI,46,F,20600,Postpaid,10,251.63,8.58,69,26,3,No,4G,Xiaomi,Mid (10k-25k),232.1,2,No Contract,3,No,0,4,0.4,0.1,Yes,0,UPI,22-10-2021,Yes
CUST00010,THANE,75,M,24100,Postpaid,11,169.8,10.56,358,21,1,Yes,3G,Xiaomi,Low (<10k),173.91,3,No Contract,5,No,3,3,14.6,2,Yes,1,Debit Card,11/13/2019,Yes
CUST00778,thane,53,Female,29900,Prepaid,6,167.84,5.14,517,25,1,NO,4g,OnePlus,High (25k-60k),168.7,2,No Contract,1,No,3,2,2.8,1.1,Yes,3,Credit Card,04-03-2021,No
CUST00397,kolhapur,52,Female,26000,Prepaid,3,203.56,1.71,104,18,0,N/A,5G,APPLE,Mid (10k-25k),239.39,0,No Contract,5,No,1,5,12.7,9.8,No,3,UPI,19-09-2023,No
CUST01404,THANE,42,Female,46200,prepaid,22,126.54,8.82,397,32,1,yes,4G,Apple,High (25k-60k),,1,With Contract,2,No,1,1,4.3,1.3,No,1,Net Banking,27-03-2020,No
CUST00653,Nasik,59,M,32800,Prepaid,12,264.58,5.01,164,25,2,NO,3G,Apple,Low (<10k),238.29,0,with contract,1,No,1,5,1.5,8.7,Yes,0,UPI,01-08-2021,No
CUST00650,Nagpur,36,F,24300,prepaid,8,80.86,2.24,,29,1,yes,3G,Xiaomi,Mid (10k-25k),84.69,1,With Contract,0,No,1,2,2,3,No,0,Wallet,04/30/2021,No
CUST00894,pune,85,Male,6700,Prepaid,10,685.94,6.88,673,34,0,N/A,4G,Xiaomi,Low (<10k),784.71,0,With Contract,5,No,2,3,0.7,5.5,Yes,0,,07-02-2021,No
CUST00882,thane,57,F,29600,Postpaid,5,62.5,2.32,598,34,2,No,5G,Realme,Low (<10k),51.09,4,No Contract,1,No,1,3,3.6,0.2,No,0,Cash,17-07-2023,Yes
CUST00685,navi mumbai,66,Female,20600,Prepaid,4,70.03,5.71,806,28,1,yes,4G,Samsung,High (25k-60k),79.58,0,No Contract,0,No,0,3,23.7,0.5,Yes,1,Debit Card,06/28/2019,No
CUST00194,Nashik,67,Male,23100,Prepaid,7,139.9,5.2,324,37,4,Yes,4G,Vivo,Mid (10k-25k),127.45,0,No Contract,1,No,0,3,1.9,13.6,No,0,Net Banking,10-02-2022,No
CUST00665,MUMBAI,58,Female,21900,Prepaid,29,43.76,2.76,225,30,3,NO,5G,Unknown,Mid (10k-25k),,3,No Contract,2,No,1,,0.3,5.7,Yes,0,UPI,04-04-2021,No
CUST00263,MUMBAI,64,Male,45000,Prepaid,49,305.93,0.1,80,37,2,Yes,4G,Vivo,Low (<10k),272.01,0,With Contract,0,No,1,5,2.7,1.7,No,1,Credit Card,25-06-2022,No
CUST00956, Pune,44,Male,29800,Postpaid,4,125.74,2.91,0,21,1,No,4G,Xiaomi,High (25k-60k),146.15,1,No Contract,2,No,2,5,4.2,1,Yes,1,Cash,06-07-2023,No
CUST01139,Nagpur,62,male,69900,POSTPAID,1,376.84,,531,28,1,Yes,4G,Apple,High (25k-60k),397.82,0,With Contract,2,No,2,4,6.9,4.9,Yes,2,Net Banking,31-08-2019,No
CUST00870,Navi Mumbai,45,,15700,Postpaid,17,52.74,0.2,333,18,1,No,4G,Unknown,Low (<10k),44.74,1,No Contract,7,No,2,3,,4.8,No,0,UPI,23-07-2019,No
CUST00622,Mumbai,72,Female,15500,POSTPAID,32,258.29,2.64,714,29,3,No,4G,samsung,Premium (>60k),220.46,1,With Contract,3,No,0,4,18.9,3,Yes,0,UPI,25-12-2021,No
CUST01277,MUMBAI,72,Male,108500,prepaid,22,157.36,12.52,0,29,1,yes,4g,OnePlus,High (25k-60k),167.27,1,With Contract,2,No,3,3,,0.4,No,0,Wallet,30-07-2021,No
CUST01074,Bombay,42,Female,15900,Prepaid,1,103.73,0.21,161,24,2,No,4G,Samsung,Low (<10k),87.82,1,With Contract,1,No,1,5,10.2,1.4,No,0,Cash,16-06-2021,Yes
CUST00839,nashik,78,Male,16500,Prepaid,39,115.37,5,311,30,2,yes,4G,Vivo,Low (<10k),149,1,No Contract,2,Yes,1,1,13.1,1.4,Yes,2,Net Banking,23-04-2021,No
CUST01241,Kolhapur,41,Male,,Prepaid,9,160.14,5.27,332,24,1,Yes,4G,Vivo,High (25k-60k),184.83,0,With Contract,5,Yes,1,3,7.7,5.5,No,2,Debit Card,28-08-2023,No
CUST00678, Pune,35,Female,23000,Postpaid,33,342.1,0.52,275,21,0,N/A,4G,Realme,Premium (>60k),417.91,0,With Contract,3,No,2,3,3.2,4,No,3,UPI,20-10-2023,No
CUST00993,Mumbai ,31,M,36400,Prepaid,7,470.84,9.62,630,25,0,N/A,4G,Oppo,Premium (>60k),542.76,1,No Contract,2,No,4,2,0,15.5,No,1,UPI,16-07-2022,Yes
CUST01390, Pune,59,F,20300,Postpaid,7,112.31,14.42,511,27,0,N/A,4G,Xiaomi,High (25k-60k),111.92,0,?,2,No,0,5,7,4.3,Yes,0,UPI,02-05-2019,No
CUST00018,Nagpur,52,F,27200,Postpaid,28,231.03,3.51,349,29,2,No,4G,Xiaomi,Low (<10k),228.51,1,With Contract,4,No,2,,35.8,4.2,No,2,Wallet,10-11-2022,No
CUST00766,Nagpur,39,Female,29200,Prepaid,7,372.94,1.44,179,20,0,N/A,4G,Oppo,Mid (10k-25k),437.87,2,With Contract,2,No,1,1,0.6,3.8,No,3,UPI,18-01-2021,Yes
CUST00187,Solapur,36,,20800,Prepaid,2,298.52,8.58,552,34,1,yes,5G,Vivo,Mid (10k-25k),317.53,0,No Contract,3,No,0,5,6.8,7.4,Yes,0,UPI,24-02-2019,No
CUST01388,Mumbai,38,Female,66200,Postpaid,5,730.15,6.91,410,26,0,N/A,2G,Apple,Low (<10k),650.15,0,With Contract,3,No,0,1,12.6,12.9,Yes,4,Credit Card,24-04-2020,Yes
